Member_number,itemDescription,Date,Category
7857,sliced cheese,01-01-2024,Beverages
9465,pork,01-01-2024,Other
7188,beverages,01-01-2024,Other
4580,other vegetables,01-01-2024,Other
7193,margarine,01-01-2024,Other
6526,pasta,01-01-2024,Other
7775,dish cleaner,01-01-2024,Other
9683,domestic eggs,01-01-2024,Other
5712,whole milk,01-01-2024,Meat
5433,bottled beer,01-01-2024,Other
7700,pork,01-01-2024,Meat
8386,other vegetables,01-01-2024,Meat
6781,other vegetables,01-01-2024,Other
6246,canned fish,01-01-2024,Other
9406,rolls/buns,01-01-2024,Other
2951,hamburger meat,01-01-2024,Other
2115,waffles,01-01-2024,Other
1887,berries,01-01-2024,Other
4884,fruit/vegetable juice,01-01-2024,Other
3379,tropical fruit,01-01-2024,Other
5211,butter,01-01-2024,Other
5669,napkins,01-01-2024,Other
3536,pastry,01-01-2024,Dairy
1450,onions,01-01-2024,Meat
2649,whipped/sour cream,01-01-2024,Other
8124,Instant food products,01-01-2024,Other
2922,cat food,01-01-2024,Other
1448,canned beer,01-01-2024,Other
6000,soda,01-01-2024,Meat
6630,dessert,01-01-2024,Beverages
4288,tropical fruit,01-01-2024,Other
1865,brown bread,01-01-2024,Other
2763,frankfurter,01-01-2024,Other
8184,shopping bags,01-01-2024,Other
3401,sliced cheese,01-01-2024,Other
8434,soda,01-01-2024,Beverages
6232,onions,01-01-2024,Other
4338,root vegetables,01-01-2024,Canned Goods
1511,citrus fruit,01-01-2024,Other
5767,soda,01-01-2024,Meat
8243,newspapers,01-01-2024,Other
8867,soda,01-01-2024,Other
7808,whole milk,01-01-2024,Other
5691,soda,01-01-2024,Other
8881,snack products,01-01-2024,Other
7621,butter,01-01-2024,Beverages
2922,butter,01-01-2024,Other
4547,frozen fish,01-01-2024,Beverages
5322,white wine,01-01-2024,Other
3315,grapes,01-01-2024,Other
6641,yogurt,01-01-2024,Beverages
5577,frozen meals,01-01-2024,Dairy
3368,whole milk,01-01-2024,Other
1644,pork,01-01-2024,Other
5293,packaged fruit/vegetables,01-01-2024,Other
9925,canned beer,01-01-2024,Other
2510,rolls/buns,01-01-2024,Other
5598,condensed milk,01-01-2024,Other
4487,specialty bar,01-01-2024,Other
1130,whole milk,01-01-2024,Other
4350,packaged fruit/vegetables,01-01-2024,Beverages
3351,other vegetables,01-01-2024,Other
6460,salt,01-01-2024,Other
7102,rolls/buns,01-01-2024,Other
8287,berries,01-01-2024,Other
9319,rolls/buns,01-01-2024,Meat
5530,butter,01-01-2024,Other
1896,white wine,01-01-2024,Other
1867,pork,01-01-2024,Meat
5557,white bread,01-01-2024,Other
8477,yogurt,01-01-2024,Other
7566,dessert,01-01-2024,Other
1930,pip fruit,01-01-2024,Beverages
4216,frankfurter,01-01-2024,Other
5028,dessert,01-01-2024,Dairy
